Название района;Назва району;Город;Область;Тип
Марксово;Марксове;Немиров;Винницкая;Село
Маркуши;Маркуші;Хмельник;Винницкая;Село
Мартыновка;Мартинівка;Жмеринка;Винницкая;Село
Марьяновка;Мар'янівка;Бар;Винницкая;Село
Марьяновка;Мар'янівка;Гайсин;Винницкая;Село
Марьяновка;Мар'янівка;Хмельник;Винницкая;Село
Масложир комбинат;Олієжир комбінат;Винница;Винницкая;Район
Матейков;Матейків;Бар;Винницкая;Село
Махаринцы;Махаринці;Казатин;Винницкая;Село
Маяки;Маяки;Тульчин;Винницкая;Село
Маянов;Маянів;Тывров;Винницкая;Село
Медведка;Медвідка;Винница;Винницкая;Село
Медвежье;Медвежа;Немиров;Винницкая;Село
Медвежье Ушко;Медвеже Вушко;Винница;Винницкая;Село
Медвежья;Ведмежа;Немиров;Винницкая;Село
Медовка;Медівка;Оратов;Винницкая;Село
Межирев;Межирів;Жмеринка;Винницкая;Село
Межлесье;Міжлісся;Бар;Винницкая;Село
Мелешков;Мелешків;Гайсин;Винницкая;Село
Мельниковцы;Мельниківці;Немиров;Винницкая;Село
Мервин;Мервин;Оратов;Винницкая;Село
Метановка;Метанівка;Теплик;Винницкая;Село
Мигаловцы;Мигалівці;Бар;Винницкая;Село
Мизяков;Мізяків;Калиновка;Винницкая;Село
Мизяковские Хутора;Мізяківські Хутори;Винница;Винницкая;Село
Микулинцы;Микулинці;Литин;Винницкая;Село
Миролюбовка;Миролюбівка;Песчанка;Винницкая;Село
Мироновка;Миронівка;Ямполь;Винницкая;Село
Митки;Митки;Бар;Винницкая;Село
Митков;Митків;Гайсин;Винницкая;Село
Митлинцы;Мітлинці;Гайсин;Винницкая;Село
Михайлин;Михайлин;Казатин;Винницкая;Село
Михайловка;Михайлівка;Бершадь;Винницкая;Село
Михайловка;Михайлівка;Винница;Винницкая;Село
Михайловка;Михайлівка;Гайсин;Винницкая;Село
Михайловка;Михайлівка;Тульчин;Винницкая;Село
Михайловка;Михайлівка;Шаргород;Винницкая;Село
Михайловка;Михайлівка;Ямполь;Винницкая;Село
Михайловцы;Михайлівці;Мурованые Куриловцы;Винницкая;Село
Мишаровка;Мишарівка;Теплик;Винницкая;Село
Мовчаны;Мовчани;Жмеринка;Винницкая;Село
Могилев-Подольский;Могилів-Подільський;Могилев-Подольский;Винницкая;Район
Могилевка;Могилівка;Жмеринка;Винницкая;Село
Моевка;Моївка;Черновцы;Винницкая;Село
